temperature, L2
2076.99, 8.62687e-06
2030.8, 1.21122e-05
1853.93, 3.58607e-06
1005.77, 7.1734e-05
1915.04, 2.72963e-06
2182.64, 1.45972e-05
2252.24, 1.32493e-05
1743.61, 1.4901e-05
1285.52, 1.29963e-05
2484.42, 1.88219e-05
1473.18, 1.78299e-05
1491.14, 8.38786e-05
1323.47, 9.9563e-06
1288.82, 1.48127e-05
1762.13, 6.90168e-06
1618.65, 1.5115e-05
2422.79, 1.37457e-05
1461.7, 2.2616e-05
2342.58, 2.89921e-05
1683.35, 5.61593e-05
1694.25, 4.68388e-05
2250.14, 0.0221195
1028.83, 4.83748e-05
2204, 9.9988e-06
1125.89, 2.63239e-05
1920.27, 9.95311e-06
1358.46, 1.10174e-05
1779.61, 2.07633e-05
2280.67, 2.0408e-05
1043.63, 7.84225e-06
1278.56, 3.16578e-05
1446.81, 1.64071e-05
1542.34, 1.37752e-05
1534.92, 0.000129934
1104.8, 1.03194e-05
1681.37, 4.4255e-05
2261.59, 3.71111e-05
2309.22, 1.59662e-05
2493.37, 5.66214e-05
1816.2, 2.21915e-05
1131.51, 9.85732e-06
1444.05, 2.50526e-05
1261.84, 6.28113e-06
1760.64, 7.37089e-06
2343.88, 4.08187e-05
1157.98, 4.36071e-06
1405.37, 1.37748e-05
2251.87, 9.21782e-05
2413.01, 3.3688e-05
1600.88, 3.45815e-05
1863.98, 9.78164e-06
1477.73, 1.88154e-05
1580.71, 7.12628e-05
1864.42, 6.82226e-06
2248.81, 1.09644e-05
1383.65, 2.22094e-05
2095.32, 4.63642e-05
1491.03, 1.81147e-05
1765.61, 0.000104825
1798.32, 0.000103976
1127.85, 8.02253e-06
1663.02, 2.36828e-05
1392.88, 1.17066e-05
1802.28, 2.09026e-05
1241.46, 5.675e-06
2064.85, 1.11683e-05
2033.09, 2.55862e-05
2278.17, 1.55579e-05
2376.01, 5.29714e-05
1584.39, 1.46773e-05
1745.76, 5.24019e-05
2299.05, 1.02288e-05
2017.37, 1.00965e-05
2330.27, 1.29563e-05
2454.55, 1.10946e-05
1374.31, 8.483e-06
2427.53, 4.9576e-05
2253.71, 3.78983e-05
2490.1, 4.43492e-05
2099.29, 7.68212e-06
1807.38, 7.06257e-06
2476.09, 9.76816e-06
1128.55, 1.13623e-05
2297.11, 1.65299e-05
1937.19, 3.13898e-05
1589.86, 4.33259e-05
1408.92, 0.000142947
2404.66, 1.79599e-05
2035.03, 6.46639e-06
1544.53, 2.12765e-05
1639, 1.20426e-05
2136.92, 0.000516663
1016.68, 3.42179e-05
1060.23, 3.43174e-05
1946.6, 2.49675e-05
1171.4, 6.78506e-06
1777.72, 0.000330511
2258.15, 5.28421e-05
1308.72, 0.000289384
1263.66, 1.84188e-05
1203.58, 1.31844e-05
1795.02, 9.65331e-06
1775.17, 1.42878e-05
1943.44, 3.24141e-05
1098.5, 7.45843e-06
1962.55, 1.05252e-05
2196.74, 3.32367e-05
2275.4, 1.31173e-05
2248.09, 2.51552e-05
1487.06, 0.000310797
2325.72, 2.89963e-05
1424.86, 1.46337e-05
1539.74, 3.67557e-05
2265.36, 2.73612e-05
2406.08, 2.30431e-05
1571.68, 1.82362e-05
1027.25, 4.70671e-05
2077.08, 9.03676e-06
2007.82, 7.05596e-06
1964.86, 9.64761e-06
1418.62, 1.49391e-05
1690.41, 5.76093e-05
