temperature, L2
1743.1, 1.84334e-08
2342.89, 1.28373e-07
2430.1, 1.66786e-07
1781.51, 1.57349e-07
1065.7, 9.85602e-08
1970.34, 1.4723e-07
1528.08, 1.862e-08
1262.01, 5.13587e-07
1760, 3.47987e-08
1238.71, 8.35534e-07
1731.62, 1.2329e-06
2072.57, 2.40332e-07
2159.44, 6.34819e-08
2040.6, 6.16876e-08
1082.04, 9.73495e-10
1650.16, 2.46688e-08
2373.85, 8.68388e-08
2035.12, 1.64706e-06
1730, 1.41346e-06
1507.66, 1.02229e-06
1217.38, 1.61532e-07
2000.23, 3.24394e-08
2029.06, 3.70246e-08
1124.81, 3.71635e-08
1017.43, 7.6169e-06
1917.25, 1.51946e-08
2216.84, 2.92303e-06
1786.16, 1.30923e-09
1536.74, 1.20571e-08
1498.41, 9.38489e-08
1906.86, 1.53311e-07
1552.26, 1.11319e-09
2226.79, 2.82517e-07
1449.17, 3.20853e-08
2426.39, 1.79685e-07
1365.93, 2.04272e-06
1684.11, 2.73493e-08
1487.71, 1.25858e-08
1989.39, 3.0353e-06
1640.44, 2.83108e-08
2214.55, 8.18509e-08
1603.66, 4.97178e-09
1299.4, 2.97034e-09
1006.15, 4.21655e-06
1557.11, 1.5267e-08
2142.82, 5.28184e-08
2299.4, 7.00855e-08
2059.91, 2.86443e-08
2423.16, 1.97671e-07
2163.11, 3.5597e-07
2295.7, 1.5124e-06
2303.37, 1.34646e-07
1071.28, 1.29807e-11
1634.89, 3.85574e-09
1508.31, 2.8632e-08
2362.32, 2.9737e-06
1254.71, 6.8109e-07
1674.71, 5.20116e-08
1264.68, 2.25703e-05
2113.83, 3.8611e-08
1871.2, 2.67792e-07
1379.04, 2.40335e-08
1660.15, 8.41459e-09
1843.65, 1.77638e-07
1592.53, 1.60315e-08
2216.07, 2.25255e-07
2218.34, 1.96601e-07
2004.34, 1.28622e-07
2224.17, 9.54731e-08
1374.63, 5.13856e-07
2215.67, 5.54068e-08
2454.9, 4.42776e-06
2313.18, 8.48641e-08
1735.53, 1.65021e-08
1924.99, 2.40806e-07
2130.7, 6.6146e-08
1821.77, 2.17744e-07
1777.6, 3.97585e-08
2095.35, 1.33485e-07
1211.99, 5.90229e-08
2434.9, 8.29136e-07
1644.53, 1.2904e-08
1559.42, 3.85746e-09
1767.62, 2.57082e-07
2084.3, 1.53212e-07
1817.41, 1.95169e-07
1744.58, 4.6891e-07
1612.85, 5.12745e-09
1291.09, 1.1835e-07
2086.38, 3.90784e-08
2386.09, 1.8069e-07
1886.52, 6.46437e-07
1280.77, 1.77936e-08
2051.72, 4.86068e-08
1168.66, 7.97026e-09
2472.04, 9.66022e-07
1118.21, 3.17471e-07
1840.17, 9.62866e-08
2416.4, 3.03492e-07
2102.97, 1.05684e-07
1764.94, 2.31748e-06
2450.57, 8.15277e-07
1807.58, 6.5224e-07
2397.91, 4.0432e-07
1689.08, 1.58595e-07
2017.65, 2.40785e-08
2292.59, 1.92149e-07
1383.13, 6.20383e-07
1120.36, 3.01794e-07
2267.44, 5.67397e-08
1952.23, 2.16975e-08
1873.52, 7.28032e-08
1469.61, 4.19278e-08
2288.5, 9.35057e-08
1473.69, 3.77956e-07
2163.27, 1.55705e-07
1462.18, 1.98122e-07
1670.03, 1.11213e-07
1083.31, 3.92709e-07
1842.48, 6.57708e-09
2301.17, 2.58609e-07
2239.61, 2.77944e-07
1887.56, 5.68348e-09
1093.67, 2.39028e-08
1434.97, 3.71549e-08
1279.38, 7.67741e-09
1717.67, 4.3989e-07
2223.05, 7.79076e-08
1195.66, 1.92567e-06
1840.67, 1.92107e-07
1528.66, 5.70634e-08
1572.22, 5.5338e-09
1247.03, 2.99878e-07
2159.54, 7.35596e-08
1672.54, 1.03667e-06
1957.49, 2.88766e-07
2187.76, 4.86192e-07
1905.09, 3.37787e-08
1401.54, 2.74516e-08
1230.9, 5.35692e-07
1295.42, 2.61943e-08
2313.83, 3.34849e-06
1231.06, 5.5154e-08
2165.38, 2.16072e-07
2400, 4.65545e-07
1460.16, 9.84251e-09
1999.31, 1.71646e-07
1423.71, 1.37178e-07
1488.53, 4.2592e-08
1577.15, 3.55097e-09
2318.97, 5.1434e-07
1297.01, 1.3998e-08
2450.13, 3.64845e-07
1135.66, 7.33754e-08
1304.21, 1.16062e-07
2471.66, 2.12713e-07
2354.69, 2.33027e-07
1886.86, 3.95817e-08
1904.11, 5.20053e-08
1422.66, 7.38482e-07
1170.77, 2.86866e-08
2219.4, 1.12551e-05
1338.87, 2.43226e-07
