temperature, L2
1282.31, 0.0358091
1911.09, 0.00240441
1183.28, 0.00386353
2333.88, 0.00482648
1771.44, 0.00319959
1819.03, 0.00167062
1625.72, 0.00153584
1453.86, 0.00304211
1173.62, 0.00971134
2246.59, 0.0774331
1415.91, 0.044605
1617.89, 0.00432977
1558.79, 0.0456413
2349.95, 0.0060443
1935.34, 0.00261046
2493.89, 0.0102804
1072.89, 0.0034709
1688.71, 0.00524616
2322.86, 0.00380403
1398.9, 0.00466222
1525.33, 0.0182049
1179.94, 0.00458071
1990.81, 0.0032821
1311.19, 0.0155135
1520.69, 0.00666375
1040.13, 0.00348515
1671.66, 0.00179785
1012.35, 0.162356
1684.19, 0.00461969
1497.48, 0.0193326
1392.66, 0.00354868
1988.76, 0.209796
2268.46, 0.00402651
1166.16, 0.0161457
2014.88, 0.00272882
1298.74, 0.00307368
1815.16, 0.00477597
2340.12, 0.00812755
2335.69, 0.00569443
1993.21, 0.00384676
1443.31, 0.0117262
1130.16, 0.00608304
2365.83, 0.040974
1109.7, 0.18798
1404.15, 0.0113861
1900.64, 0.0110989
1622.18, 0.0146226
1059.14, 0.0160046
1236.85, 0.0648417
2395.09, 0.00401566
2429.94, 0.00543905
1523.63, 0.0145478
1379.2, 0.0101088
1219.99, 0.00802106
1106.88, 0.00699345
1322.55, 0.00616383
1101.76, 0.00866785
1945.99, 0.00145415
1693.58, 0.00232993
2187.88, 0.0115725
1752.82, 0.0159533
1955.27, 0.00232582
2341.2, 0.00657559
1108.35, 0.00347488
1272.08, 0.0327116
1838.58, 0.0035977
1880.4, 0.00197344
2073.67, 0.0174265
1720.78, 0.00515496
1773.38, 0.00548245
1583.32, 0.0196891
2188.26, 0.00703963
2457.94, 0.00692823
1209.23, 0.00552418
1371.43, 0.0424172
1337.38, 0.0034775
1105.81, 0.00975923
1744.2, 0.0127006
2030.72, 0.0069137
2293, 0.041099
1812.87, 0.00409415
1349.68, 0.00713335
2310.01, 0.0167731
1005.6, 0.00620841
2052.42, 0.00867674
1303.72, 0.0033059
1164.94, 0.00411886
1588.36, 0.00728757
1341.23, 0.00355678
1755.29, 0.00207236
1317.93, 0.00400694
1006.41, 0.00645499
2410.62, 0.00449273
1314.77, 0.00291493
2284.85, 0.00427115
1476.27, 0.0090106
2474.44, 0.144977
1179.71, 0.00580491
2218.03, 0.00592421
1696.35, 0.00223706
1827.58, 0.00304287
1759.89, 0.00176798
2049.25, 0.00396643
1923.45, 0.003273
1220.02, 0.00401354
2241.88, 0.00728596
2203.81, 0.00393692
1760.06, 0.00329153
1695, 0.0031621
1586.25, 0.00764154
1506.85, 0.00189638
1000.86, 0.00381385
2205.2, 0.00541211
1018.82, 0.00495649
1916.43, 0.00379635
1152.05, 0.0126584
2127.7, 0.00275225
2099.53, 0.0018386
2166.84, 0.00474701
2294.19, 0.0052698
2227.45, 0.0106517
2022.98, 0.121829
2003.09, 0.00406911
2447.45, 0.023938
1515.96, 0.0104151
2122.3, 0.0151209
1739.65, 0.00378897
2001.12, 0.00781855
1842.46, 0.0103439
1717.85, 0.0455184
2400.22, 0.00887423
2460.79, 0.00992617
2327.41, 0.00450494
1858.62, 0.210838
1676.68, 0.00429194
1758.82, 0.00331276
1624.54, 0.00227853
1055.17, 0.00619527
1718.11, 0.00473264
1555.54, 0.00532633
1147.61, 0.00592597
1973.11, 0.00870892
1155.75, 0.00810703
2179.49, 0.00255776
2125.37, 0.00888117
1613.17, 0.00482034
2391.92, 0.00929214
1729.83, 0.675001
1585.07, 0.361007
1816.36, 0.0080385
2282, 0.00567206
2325.41, 0.0279073
2193.91, 0.00838835
1491.75, 0.00303559
1764.97, 0.0552007
1163.28, 0.00759737
1471.29, 0.00486036
1366.26, 0.152748
2203.87, 0.0046142
1820.56, 0.00267253
1144.8, 0.00435986
1788.54, 0.00692471
1090.14, 0.00437176
1993.03, 0.00684722
2397.47, 0.0123451
1018.5, 0.00809139
1792.3, 0.00246574
1995.13, 0.0035971
2360.62, 0.00898381
2007.7, 0.00238697
1439.42, 0.133532
1339.64, 0.00949456
1042.53, 0.0049595
1398.54, 0.0148302
1154.97, 0.00289342
1352.76, 0.00287033
1406.78, 0.00293949
1704.5, 0.00973604
2141.87, 0.0021658
1644.92, 0.00145617
2468.83, 0.00574602
2317.37, 0.00742768
2156.9, 0.030219
1930.02, 0.00365648
1454.56, 0.00438411
1620.92, 0.00275751
1675.49, 0.00203074
1441.97, 0.00666798
1608.85, 0.0789507
1035.1, 0.00511803
2113.69, 0.00882097
1219.9, 0.0172935
1789.61, 0.00510348
1399.45, 0.00245027
1582.47, 0.0104512
2476.37, 0.0244876
2100.11, 0.00792331
1705.93, 0.00200147
1887.36, 0.00233603
1309.57, 0.110233
1993.06, 0.00302394
2374.78, 0.0113003
1659.06, 0.00361986
2316.11, 0.0104792
1658.03, 0.0142276
1308.4, 0.0037434
1693.64, 0.0089104
1375.53, 0.00379831
2013.47, 0.00466126
1268.88, 0.0159185
1567.91, 0.0025186
1998.99, 0.0334856
1584.62, 0.00507298
1043.05, 0.0105482
1438.8, 0.00938891
1584, 0.0126995
2181.03, 0.00991354
1264.77, 0.0147194
1875.69, 0.00300564
1213.68, 0.00647211
2054.68, 0.00907335
1167.4, 0.00431068
1373.02, 0.0201516
2052.29, 0.00244175
1960.54, 0.00808022
2277.26, 0.00330713
2148.77, 0.00288882
2043.88, 0.0262993
1664.43, 0.0057222
2469.56, 0.326709
1074.28, 0.00628943
1380.13, 0.0109114
1761.53, 0.00331432
1219.27, 0.0135182
2481.07, 0.00494539
1314.31, 0.0134492
1002.71, 0.0081823
2049.34, 0.0130797
2060.51, 0.00416532
1884.63, 0.0170579
1949.11, 0.0270258
1622.77, 0.00280705
2166.07, 0.00263217
1752.44, 0.00595167
1144.67, 0.0152093
1187.88, 0.00422374
2484.85, 0.00414149
1766, 0.00186944
1390.99, 0.00709758
1166.38, 0.00841218
1217.61, 0.00528929
1749.96, 0.00347067
2220.96, 0.00430623
1171.14, 0.0411003
2005.88, 0.00211605
1932.4, 0.00490536
1867.04, 0.0292334
1642.14, 0.00571763
1310.71, 0.00258948
1166.53, 0.128497
1465.63, 0.00843643
1222.52, 0.00372793
2481.1, 0.0037259
2426.21, 0.00706771
1128.45, 0.00380761
2432.92, 0.0304706
1726.39, 0.00312142
2040.52, 0.0489966
1517.23, 0.0321035
2024.09, 0.00663275
1914.91, 0.00240449
2087.55, 0.00257382
1902.05, 0.00589767
1545.46, 0.00346469
2036.87, 0.00498873
1889.29, 0.00404654
1275.39, 0.00450424
1863.78, 0.00279671
2421.14, 0.00643697
2252.57, 0.00866854
1169.67, 0.00394616
1519.02, 0.00869199
1242.37, 0.101139
1210.98, 0.00649698
1352.67, 0.0045782
2468.74, 0.00447008
2476.03, 0.0197051
2477.69, 0.00694865
1834.36, 0.00741334
1713.16, 0.00388723
1117.44, 0.0142409
1168.33, 0.00675728
2071.1, 0.00417384
1883.86, 0.00238495
2241.33, 0.0046747
